Geography,Cases,Rate per 100000
"Autauga County, AL","184","369.2"
"Baldwin County, AL","416","240.7"
"Barbour County, AL","165","554.9"
"Bibb County, AL","61","284.9"
"Blount County, AL","48","84.4"
"Bullock County, AL","79","722.1"
"Butler County, AL","130","643.4"
"Calhoun County, AL","604","537.0"
"Chambers County, AL","223","642.3"
"Cherokee County, AL","38","155.8"
"Chilton County, AL","98","230.7"
"Choctaw County, AL","69","485.4"
"Clarke County, AL","167","632.2"
"Clay County, AL","56","407.2"
"Cleburne County, AL","24","163.4"
"Coffee County, AL","253","543.1"
"Colbert County, AL","243","445.2"
"Conecuh County, AL","37","282.4"
"Coosa County, AL","54","502.7"
"Covington County, AL","134","363.9"
"Crenshaw County, AL","65","473.9"
"Cullman County, AL","117","145.2"
"Dale County, AL","224","468.3"
"Dallas County, AL","550","1286.9"
"Dekalb County, AL","155","226.9"
"Elmore County, AL","328","424.1"
"Escambia County, AL","175","464.6"
"Etowah County, AL","486","471.0"
"Fayette County, AL","28","159.2"
"Franklin County, AL","73","237.8"
"Geneva County, AL","56","218.0"
"Greene County, AL","78","860.7"
"Hale County, AL","238","1315.7"
"Henry County, AL","84","505.0"
"Houston County, AL","649","666.1"
"Jackson County, AL","87","164.9"
"Jefferson County, AL","6,139","929.1"
"Lamar County, AL","25","172.5"
"Lauderdale County, AL","276","312.0"
"Lawrence County, AL","106","310.3"
"Lee County, AL","564","431.5"
"Limestone County, AL","200","270.6"
"Lowndes County, AL","140","1107.4"
"Macon County, AL","224","1017.3"
"Madison County, AL","1,196","381.9"
"Marengo County, AL","205","964.9"
"Marion County, AL","47","159.4"
"Marshall County, AL","151","171.4"
"Mobile County, AL","2,715","672.0"
"Monroe County, AL","98","430.5"
"Montgomery County, AL","2,649","1175.0"
"Morgan County, AL","402","349.1"
"Perry County, AL","131","1220.5"
"Pickens County, AL","74","380.2"
"Pike County, AL","249","825.4"
"Randolph County, AL","85","379.9"
"Russell County, AL","299","594.9"
"St. Clair County, AL","169","215.2"
"Shelby County, AL","227","123.6"
"Sumter County, AL","151","1139.7"
"Talladega County, AL","529","655.8"
"Tallapoosa County, AL","207","508.3"
"Tuscaloosa County, AL","1,017","568.1"
"Walker County, AL","171","249.3"
"Washington County, AL","68","397.8"
"Wilcox County, AL","146","1162.0"
"Winston County, AL","17","70.1"
"Aleutians East Borough, AK","23","842.2"
"Aleutians West Census Area, AK","13","270.0"
"Anchorage Municipality, AK","2,308","834.3"
"Bethel Census Area, AK","402","2354.3"
"Bristol Bay Borough, AK","0","0.0"
"Denali Borough, AK","1","56.1"
"Dillingham Census Area, AK","41","831.1"
"Fairbanks North Star Borough, AK","685","701.1"
"Haines Borough, AK","6","259.1"
"Hoonah-Angoon Census Area, AK","Data not available","Data not available"
