Geography,Cases,Rate per 100000
"Autauga County, AL","231","419.7"
"Baldwin County, AL","588","301.3"
"Barbour County, AL","172","637.7"
"Bibb County, AL","83","368.7"
"Blount County, AL","92","159.4"
"Bullock County, AL","104","978.5"
"Butler County, AL","157","774.9"
"Calhoun County, AL","798","684.5"
"Chambers County, AL","307","898.9"
"Cherokee County, AL","58","222.4"
"Chilton County, AL","148","337.9"
"Choctaw County, AL","59","441.0"
"Clarke County, AL","192","764.5"
"Clay County, AL","70","519.8"
"Cleburne County, AL","48","319.4"
"Coffee County, AL","306","602.9"
"Colbert County, AL","299","548.9"
"Conecuh County, AL","75","582.5"
"Coosa County, AL","49","443.1"
"Covington County, AL","152","401.8"
"Crenshaw County, AL","81","581.4"
"Cullman County, AL","237","293.5"
"Dale County, AL","301","604.0"
"Dallas County, AL","518","1232.7"
"Dekalb County, AL","175","246.9"
"Elmore County, AL","393","485.9"
"Escambia County, AL","185","488.7"
"Etowah County, AL","726","699.1"
"Fayette County, AL","63","373.7"
"Franklin County, AL","101","320.6"
"Geneva County, AL","124","463.5"
"Greene County, AL","115","1320.9"
"Hale County, AL","194","1266.6"
"Henry County, AL","105","610.3"
"Houston County, AL","721","695.9"
"Jackson County, AL","129","243.8"
"Jefferson County, AL","5,290","802.8"
"Lamar County, AL","47","331.3"
"Lauderdale County, AL","354","381.8"
"Lawrence County, AL","100","297.9"
"Lee County, AL","765","504.9"
"Limestone County, AL","218","245.3"
"Lowndes County, AL","129","1202.8"
"Macon County, AL","251","1264.4"
"Madison County, AL","1,832","528.4"
"Marengo County, AL","132","653.1"
"Marion County, AL","67","221.3"
"Marshall County, AL","240","254.3"
"Mobile County, AL","3,280","792.0"
"Monroe County, AL","123","555.2"
"Montgomery County, AL","3,039","1338.8"
"Morgan County, AL","506","422.9"
"Perry County, AL","115","1150.8"
"Pickens County, AL","127","655.8"
"Pike County, AL","333","990.2"
"Randolph County, AL","107","472.8"
"Russell County, AL","461","774.8"
"St. Clair County, AL","220","255.2"
"Shelby County, AL","398","195.2"
"Sumter County, AL","182","1358.0"
"Talladega County, AL","542","666.6"
"Tallapoosa County, AL","232","563.2"
"Tuscaloosa County, AL","1,558","776.6"
"Walker County, AL","321","486.9"
"Washington County, AL","84","498.0"
"Wilcox County, AL","165","1471.9"
"Winston County, AL","54","223.6"
"Aleutians East Borough, AK","17","513.0"
"Aleutians West Census Area, AK","12","210.6"
"Anchorage Municipality, AK","2,584","856.9"
"Bethel Census Area, AK","371","2077.0"
"Bristol Bay Borough, AK","2","209.6"
"Denali Borough, AK","5","258.5"
"Dillingham Census Area, AK","71","1422.6"
"Fairbanks North Star Borough, AK","650","643.5"
"Haines Borough, AK","7","273.1"
"Hoonah-Angoon Census Area, AK","Data not available","Data not available"
"Juneau City and Borough, AK","210","643.3"
"Kenai Peninsula Borough, AK","180","315.4"
"Ketchikan Gateway Borough, AK","88","643.6"
"Kodiak Island Borough, AK","46","326.3"
"Lake and Peninsula Borough, AK","16","968.5"
"Matanuska-Susitna Borough, AK","516","538.2"
"Nome Census Area, AK","241","2437.3"
"North Slope Borough, AK","174","1786.6"
"Northwest Arctic Borough, AK","187","2423.5"
"Petersburg Census Area, AK","Data not available","Data not available"
