Geography,Cases,Rate per 100000
"Autauga County, AL","220","397.9"
"Baldwin County, AL","667","334.0"
"Barbour County, AL","166","619.1"
"Bibb County, AL","100","443.5"
"Blount County, AL","72","124.9"
"Bullock County, AL","100","923.4"
"Butler County, AL","163","803.9"
"Calhoun County, AL","845","728.5"
"Chambers County, AL","282","828.1"
"Cherokee County, AL","96","369.3"
"Chilton County, AL","177","403.0"
"Choctaw County, AL","55","413.9"
"Clarke County, AL","153","615.8"
"Clay County, AL","53","391.5"
"Cleburne County, AL","32","212.3"
"Coffee County, AL","288","566.6"
"Colbert County, AL","255","468.1"
"Conecuh County, AL","71","560.7"
"Coosa County, AL","36","333.1"
"Covington County, AL","157","414.4"
"Crenshaw County, AL","99","709.8"
"Cullman County, AL","258","317.7"
"Dale County, AL","286","577.8"
"Dallas County, AL","357","856.9"
"Dekalb County, AL","196","276.0"
"Elmore County, AL","436","538.1"
"Escambia County, AL","191","505.5"
"Etowah County, AL","672","649.6"
"Fayette County, AL","69","409.7"
"Franklin County, AL","99","313.4"
"Geneva County, AL","111","415.6"
"Greene County, AL","106","1239.3"
"Hale County, AL","212","1401.1"
"Henry County, AL","91","529.8"
"Houston County, AL","779","748.2"
"Jackson County, AL","159","302.1"
"Jefferson County, AL","5,040","763.2"
"Lamar County, AL","59","419.9"
"Lauderdale County, AL","398","427.7"
"Lawrence County, AL","108","323.1"
"Lee County, AL","732","474.0"
"Limestone County, AL","258","284.7"
"Lowndes County, AL","127","1203.2"
"Macon County, AL","255","1315.3"
"Madison County, AL","2,119","605.2"
"Marengo County, AL","144","715.1"
"Marion County, AL","92","304.2"
"Marshall County, AL","218","231.0"
"Mobile County, AL","3,222","776.5"
"Monroe County, AL","121","552.6"
"Montgomery County, AL","2,843","1255.8"
"Morgan County, AL","448","374.4"
"Perry County, AL","95","964.0"
"Pickens County, AL","133","653.9"
"Pike County, AL","347","1048.7"
"Randolph County, AL","90","400.2"
"Russell County, AL","467","782.1"
"St. Clair County, AL","206","238.0"
"Shelby County, AL","418","202.7"
"Sumter County, AL","149","1125.1"
"Talladega County, AL","564","694.1"
"Tallapoosa County, AL","207","503.5"
"Tuscaloosa County, AL","1,497","739.2"
"Walker County, AL","296","451.4"
"Washington County, AL","61","361.7"
"Wilcox County, AL","101","913.9"
"Winston County, AL","62","257.3"
"Aleutians East Borough, AK","8","241.2"
