Geography,Cases,Rate per 100000
"Autauga County, AL","183","372.6"
"Baldwin County, AL","410","243.2"
"Barbour County, AL","186","629.1"
"Bibb County, AL","77","363.0"
"Blount County, AL","64","114.3"
"Bullock County, AL","80","747.0"
"Butler County, AL","155","767.2"
"Calhoun County, AL","540","481.6"
"Chambers County, AL","192","551.5"
"Cherokee County, AL","46","188.1"
"Chilton County, AL","131","312.3"
"Choctaw County, AL","55","381.4"
"Clarke County, AL","203","759.9"
"Clay County, AL","72","523.4"
"Cleburne County, AL","28","193.9"
"Coffee County, AL","256","563.1"
"Colbert County, AL","284","521.4"
"Conecuh County, AL","56","421.2"
"Coosa County, AL","48","443.5"
"Covington County, AL","104","283.2"
"Crenshaw County, AL","44","322.0"
"Cullman County, AL","90","112.7"
"Dale County, AL","255","535.3"
"Dallas County, AL","471","1094.5"
"Dekalb County, AL","149","220.8"
"Elmore County, AL","298","395.3"
"Escambia County, AL","166","441.2"
"Etowah County, AL","490","476.3"
"Fayette County, AL","48","269.4"
"Franklin County, AL","84","272.2"
"Geneva County, AL","54","210.0"
"Greene County, AL","107","1178.8"
"Hale County, AL","241","1345.5"
"Henry County, AL","80","484.0"
"Houston County, AL","523","547.4"
"Jackson County, AL","69","130.3"
"Jefferson County, AL","4,447","672.9"
"Lamar County, AL","33","228.2"
"Lauderdale County, AL","381","433.1"
"Lawrence County, AL","87","256.7"
"Lee County, AL","526","410.5"
"Limestone County, AL","159","221.4"
"Lowndes County, AL","124","976.6"
"Macon County, AL","191","857.0"
"Madison County, AL","1,051","342.4"
"Marengo County, AL","176","825.7"
"Marion County, AL","57","192.7"
"Marshall County, AL","142","163.5"
"Mobile County, AL","2,884","718.7"
"Monroe County, AL","117","508.7"
"Montgomery County, AL","2,403","1067.1"
"Morgan County, AL","342","299.1"
"Perry County, AL","86","813.5"
"Pickens County, AL","118","600.3"
"Pike County, AL","258","860.8"
"Randolph County, AL","66","294.1"
"Russell County, AL","224","450.4"
"St. Clair County, AL","164","218.0"
"Shelby County, AL","225","125.7"
"Sumter County, AL","177","1315.5"
"Talladega County, AL","459","569.5"
"Tallapoosa County, AL","199","489.7"
"Tuscaloosa County, AL","1,023","578.1"
"Walker County, AL","230","333.4"
"Washington County, AL","70","403.6"
"Wilcox County, AL","122","974.3"
"Winston County, AL","35","144.2"
"Aleutians East Borough, AK","7","272.7"
"Aleutians West Census Area, AK","19","375.6"
"Anchorage Municipality, AK","2,195","789.1"
"Bethel Census Area, AK","452","2651.6"
"Bristol Bay Borough, AK","0","0.0"
"Denali Borough, AK","1","55.1"
"Dillingham Census Area, AK","46","936.7"
"Fairbanks North Star Borough, AK","462","487.3"
"Haines Borough, AK","3","133.6"
"Hoonah-Angoon Census Area, AK","Data not available","Data not available"
"Juneau City and Borough, AK","105","342.1"
"Kenai Peninsula Borough, AK","113","216.6"
"Ketchikan Gateway Borough, AK","82","617.0"
"Kodiak Island Borough, AK","42","322.5"
"Lake and Peninsula Borough, AK","10","651.0"
"Matanuska-Susitna Borough, AK","299","376.4"
"Nome Census Area, AK","164","1769.5"
"North Slope Borough, AK","62","929.4"
"Northwest Arctic Borough, AK","173","2320.9"
"Petersburg Census Area, AK","Data not available","Data not available"
"Prince of Wales-Hyder Census Area, AK","Data not available","Data not available"
"Prince of Wales - Outer Ketchikan, AK","16","283.4"
"Sitka City and Borough, AK","43","483.2"
"Skagway Municipality, AK","Data not available","Data not available"
"Skagway-Hoonah-Angoon, AK","6","193.0"
"Southeast Fairbanks Census Area, AK","17","251.8"
"Valdez-Cordova Census Area, AK","42","432.9"
"Wrangell City and Borough, AK","Data not available","Data not available"
"Wrangell-Petersburg Census Area, AK","11","183.1"
"Yakutat City and Borough, AK","0","0.0"
"Yukon-Koyukuk Census Area, AK","44","752.3"
"Apache County, AZ","512","741.0"
"Cochise County, AZ","360","285.5"
"Coconino County, AZ","585","463.6"
"Gila County, AZ","170","329.2"
"Graham County, AZ","148","444.2"
"Greenlee County, AZ","21","282.2"
"La Paz County, AZ","52","258.7"
"Maricopa County, AZ","14,579","386.0"
"Mohave County, AZ","346","179.9"
"Navajo County, AZ","587","538.3"
"Pima County, AZ","3,744","383.8"
"Pinal County, AZ","699","258.4"
"Santa Cruz County, AZ","124","295.2"
"Yavapai County, AZ","314","152.2"
"Yuma County, AZ","541","292.7"
"Arkansas County, AR","91","460.1"
"Ashley County, AR","101","447.8"
"Baxter County, AR","38","92.3"
"Benton County, AR","219","108.7"
"Boone County, AR","41","114.0"
"Bradley County, AR","42","350.1"
"Calhoun County, AR","13","236.5"
"Carroll County, AR","23","84.9"
"Chicot County, AR","74","591.3"
"Clark County, AR","73","311.7"
"Clay County, AR","8","49.1"
"Cleburne County, AR","19","75.6"
"Cleveland County, AR","15","172.8"
"Columbia County, AR","141","571.8"
"Conway County, AR","30","146.4"
"Craighead County, AR","287","319.7"
"Crawford County, AR","73","125.7"
"Crittenden County, AR","366","706.0"
"Cross County, AR","53","280.2"
"Dallas County, AR","55","661.8"
"Desha County, AR","70","498.7"
"Drew County, AR","77","409.3"
"Faulkner County, AR","206","201.2"
"Franklin County, AR","43","238.5"
"Fulton County, AR","10","86.1"
"Garland County, AR","186","194.5"
"Grant County, AR","16","91.7"
"Greene County, AR","38","95.1"
"Hempstead County, AR","155","667.6"
"Hot Spring County, AR","51","161.1"
"Howard County, AR","77","539.7"
"Independence County, AR","92","267.4"
"Izard County, AR","13","99.1"
"Jackson County, AR","19","111.3"
"Jefferson County, AR","658","817.3"
"Johnson County, AR","47","192.8"
"Lafayette County, AR","60","772.4"
"Lawrence County, AR","123","733.5"
"Lee County, AR","31","283.0"
"Lincoln County, AR","32","231.1"
"Little River County, AR","57","440.6"
"Logan County, AR","30","132.8"
"Lonoke County, AR","0","0.0"
"Madison County, AR","7","45.7"
"Marion County, AR","15","90.5"
"Miller County, AR","168","392.1"
"Mississippi County, AR","222","474.5"
"Monroe County, AR","34","385.0"
"Montgomery County, AR","3","33.1"
"Nevada County, AR","54","572.1"
"Newton County, AR","5","59.9"
"Ouachita County, AR","160","609.2"
"Perry County, AR","8","78.6"
"Phillips County, AR","140","623.2"
"Pike County, AR","12","111.0"
"Poinsett County, AR","57","228.3"
"Polk County, AR","13","64.4"
"Pope County, AR","115","196.9"
"Prairie County, AR","14","158.3"
"Pulaski County, AR","1,854","498.6"
"Randolph County, AR","12","66.1"
"St. Francis County, AR","136","500.3"
"Saline County, AR","114","122.9"
"Scott County, AR","18","160.6"
"Searcy County, AR","4","50.0"
"Sebastian County, AR","331","274.8"
"Sevier County, AR","28","172.0"
"Sharp County, AR","21","118.1"
"Stone County, AR","4","33.4"
"Union County, AR","153","352.0"
"Van Buren County, AR","9","55.1"
"Washington County, AR","674","353.5"
"White County, AR","0","0.0"
"Woodruff County, AR","21","267.6"
"Yell County, AR","0","0.0"
"Alameda County, CA","5,922","412.1"
"Alpine County, CA","2","172.3"
"Amador County, CA","62","162.5"
"Butte County, CA","745","343.9"
"Calaveras County, CA","30","64.5"
"Colusa County, CA","48","229.3"
"Contra Costa County, CA","3,256","325.1"
"Del Norte County, CA","17","59.7"
"El Dorado County, CA","254","145.2"
"Fresno County, CA","5,341","608.7"
"Glenn County, CA","50","180.7"
"Humboldt County, CA","361","279.8"
"Imperial County, CA","563","358.9"
"Inyo County, CA","26","148.5"
"Kern County, CA","4,225","550.6"
"Kings County, CA","490","338.6"
"Lake County, CA","124","191.7"
