Geography,Cases,Rate per 100000
"Autauga County, AL","189","341.5"
"Baldwin County, AL","678","332.8"
"Barbour County, AL","150","566.3"
"Bibb County, AL","68","301.1"
"Blount County, AL","66","114.4"
"Bullock County, AL","79","738.6"
"Butler County, AL","168","833.6"
"Calhoun County, AL","681","589.0"
"Chambers County, AL","270","791.3"
"Cherokee County, AL","44","170.2"
"Chilton County, AL","135","307.2"
"Choctaw County, AL","50","379.7"
"Clarke County, AL","158","640.3"
"Clay County, AL","39","287.7"
"Cleburne County, AL","38","253.0"
"Coffee County, AL","238","464.7"
"Colbert County, AL","258","474.7"
"Conecuh County, AL","70","552.4"
"Coosa County, AL","48","447.6"
"Covington County, AL","170","449.3"
"Crenshaw County, AL","98","701.9"
"Cullman County, AL","274","334.1"
"Dale County, AL","283","571.0"
"Dallas County, AL","430","1045.4"
"Dekalb County, AL","179","251.7"
"Elmore County, AL","340","417.3"
"Escambia County, AL","206","545.1"
"Etowah County, AL","526","510.4"
"Fayette County, AL","77","459.5"
"Franklin County, AL","111","350.2"
"Geneva County, AL","93","347.3"
"Greene County, AL","73","861.0"
"Hale County, AL","145","962.3"
"Henry County, AL","78","452.9"
"Houston County, AL","647","621.1"
"Jackson County, AL","127","242.3"
"Jefferson County, AL","4,626","700.5"
"Lamar County, AL","51","367.3"
"Lauderdale County, AL","420","453.6"
"Lawrence County, AL","102","308.0"
"Lee County, AL","782","498.1"
"Limestone County, AL","234","255.3"
"Lowndes County, AL","111","1061.4"
"Macon County, AL","229","1198.6"
"Madison County, AL","1,980","560.8"
"Marengo County, AL","115","574.2"
"Marion County, AL","73","242.0"
"Marshall County, AL","202","213.2"
"Mobile County, AL","2,840","683.7"
"Monroe County, AL","113","521.4"
"Montgomery County, AL","2,519","1112.0"
"Morgan County, AL","407","340.4"
"Perry County, AL","96","994.6"
"Pickens County, AL","111","532.0"
"Pike County, AL","288","871.5"
"Randolph County, AL","98","431.8"
"Russell County, AL","422","707.3"
"St. Clair County, AL","218","250.4"
"Shelby County, AL","450","215.6"
"Sumter County, AL","123","938.7"
"Talladega County, AL","477","589.9"
"Tallapoosa County, AL","217","531.3"
"Tuscaloosa County, AL","1,244","609.9"
"Walker County, AL","276","422.7"
"Washington County, AL","81","482.0"
"Wilcox County, AL","106","958.5"
"Winston County, AL","64","268.0"
"Aleutians East Borough, AK","0","0.0"
"Aleutians West Census Area, AK","9","157.8"
"Anchorage Municipality, AK","2,509","840.0"
"Bethel Census Area, AK","340","1894.6"
"Bristol Bay Borough, AK","5","560.5"
"Denali Borough, AK","2","104.2"
"Dillingham Census Area, AK","90","1801.1"
"Fairbanks North Star Borough, AK","719","721.7"
"Haines Borough, AK","24","947.1"
"Hoonah-Angoon Census Area, AK","Data not available","Data not available"
"Juneau City and Borough, AK","180","549.5"
"Kenai Peninsula Borough, AK","192","330.7"
"Ketchikan Gateway Borough, AK","96","700.3"
"Kodiak Island Borough, AK","87","626.4"
"Lake and Peninsula Borough, AK","12","767.8"
"Matanuska-Susitna Borough, AK","383","378.9"
"Nome Census Area, AK","242","2457.9"
"North Slope Borough, AK","138","1424.6"
"Northwest Arctic Borough, AK","223","2876.7"
"Petersburg Census Area, AK","Data not available","Data not available"
"Prince of Wales-Hyder Census Area, AK","Data not available","Data not available"
"Prince of Wales - Outer Ketchikan, AK","34","536.2"
"Sitka City and Borough, AK","31","349.8"
"Skagway Municipality, AK","Data not available","Data not available"
"Skagway-Hoonah-Angoon, AK","6","188.1"
"Southeast Fairbanks Census Area, AK","16","234.0"
"Valdez-Cordova Census Area, AK","48","512.7"
"Wrangell City and Borough, AK","Data not available","Data not available"
"Wrangell-Petersburg Census Area, AK","0","0.0"
"Yakutat City and Borough, AK","1","163.1"
"Yukon-Koyukuk Census Area, AK","71","1283.2"
"Apache County, AZ","532","744.3"
"Cochise County, AZ","480","379.7"
"Coconino County, AZ","969","696.6"
"Gila County, AZ","169","317.9"
"Graham County, AZ","147","390.3"
"Greenlee County, AZ","31","325.3"
"La Paz County, AZ","60","297.7"
"Maricopa County, AZ","20,483","491.4"
"Mohave County, AZ","412","201.2"
"Navajo County, AZ","718","663.1"
"Pima County, AZ","5,480","542.6"
"Pinal County, AZ","1,312","322.7"
"Santa Cruz County, AZ","161","346.5"
"Yavapai County, AZ","438","197.1"
"Yuma County, AZ","995","487.1"
"Arkansas County, AR","111","602.2"
"Ashley County, AR","118","566.3"
"Baxter County, AR","80","194.9"
"Benton County, AR","718","287.6"
"Boone County, AR","98","263.3"
"Bradley County, AR","58","522.8"
"Calhoun County, AR","19","363.4"
"Carroll County, AR","43","155.2"
"Chicot County, AR","77","698.3"
"Clark County, AR","193","852.7"
"Clay County, AR","36","238.3"
"Cleburne County, AR","51","200.3"
"Cleveland County, AR","27","324.9"
"Columbia County, AR","237","982.8"
"Conway County, AR","83","394.9"
"Craighead County, AR","627","600.8"
"Crawford County, AR","174","282.0"
"Crittenden County, AR","570","1164.1"
"Cross County, AR","129","746.4"
"Dallas County, AR","63","828.5"
"Desha County, AR","113","944.4"
"Drew County, AR","142","756.2"
"Faulkner County, AR","596","490.3"
"Franklin County, AR","64","361.5"
"Fulton County, AR","23","188.5"
"Garland County, AR","415","427.1"
"Grant County, AR","49","270.7"
"Greene County, AR","199","450.3"
"Hempstead County, AR","210","950.9"
"Hot Spring County, AR","112","335.1"
"Howard County, AR","107","804.5"
"Independence County, AR","106","286.1"
"Izard County, AR","27","200.8"
"Jackson County, AR","87","501.8"
"Jefferson County, AR","920","1285.5"
"Johnson County, AR","86","329.0"
"Lafayette County, AR","57","814.8"
"Lawrence County, AR","43","256.3"
"Lee County, AR","75","777.2"
"Lincoln County, AR","49","354.6"
"Little River County, AR","64","513.1"
"Logan County, AR","73","336.2"
"Lonoke County, AR","264","368.5"
"Madison County, AR","41","260.0"
"Marion County, AR","44","271.9"
"Miller County, AR","390","888.2"
"Mississippi County, AR","464","1060.9"
"Monroe County, AR","67","905.5"
"Montgomery County, AR","21","234.1"
"Nevada County, AR","57","666.0"
"Newton County, AR","15","189.6"
"Ouachita County, AR","186","763.6"
"Perry County, AR","33","323.9"
"Phillips County, AR","200","1025.0"
"Pike County, AR","34","314.1"
"Poinsett County, AR","120","499.2"
"Polk County, AR","62","306.7"
"Pope County, AR","345","544.2"
"Prairie County, AR","20","241.2"
"Pulaski County, AR","3,394","864.4"
"Randolph County, AR","52","297.7"
"St. Francis County, AR","249","936.5"
"Saline County, AR","286","243.5"
"Scott County, AR","40","380.5"
"Searcy County, AR","13","165.2"
"Sebastian County, AR","563","440.6"
"Sevier County, AR","67","387.5"
"Sharp County, AR","28","165.6"
"Stone County, AR","16","128.5"
"Union County, AR","303","754.8"
"Van Buren County, AR","42","250.4"
"Washington County, AR","1,242","550.8"
"White County, AR","275","347.4"
"Woodruff County, AR","28","415.4"
"Yell County, AR","76","350.0"
"Alameda County, CA","8,132","496.4"
"Alpine County, CA","1","90.1"
"Amador County, CA","65","175.7"
"Butte County, CA","1,133","502.6"
"Calaveras County, CA","62","138.3"
"Colusa County, CA","61","284.0"
"Contra Costa County, CA","4,697","416.9"
"Del Norte County, CA","94","344.9"
"El Dorado County, CA","425","230.4"
"Fresno County, CA","5,946","609.9"
"Glenn County, CA","91","324.8"
"Humboldt County, CA","623","459.0"
"Imperial County, CA","731","405.7"
"Inyo County, CA","55","301.2"
"Kern County, CA","6,081","689.3"
"Kings County, CA","592","392.1"
"Lake County, CA","250","387.1"
"Lassen County, CA","79","252.0"
"Los Angeles County, CA","56,968","560.1"
"Madera County, CA","727","469.0"
"Marin County, CA","671","256.9"
"Mariposa County, CA","34","193.9"
"Mendocino County, CA","382","435.8"
"Merced County, CA","1,108","412.7"
"Modoc County, CA","10","111.5"
"Mono County, CA","32","230.1"
"Monterey County, CA","1,783","410.9"
"Napa County, CA","439","308.2"
"Nevada County, CA","224","226.5"
"Orange County, CA","11,317","357.0"
"Placer County, CA","958","255.2"
"Plumas County, CA","67","364.0"
"Riverside County, CA","9,767","413.7"
"Sacramento County, CA","8,421","560.9"
"San Benito County, CA","165","280.7"
"San Bernardino County, CA","11,011","517.4"
"San Diego County, CA","17,378","526.7"
"San Francisco County, CA","7,648","884.3"
"San Joaquin County, CA","3,546","488.4"
"San Luis Obispo County, CA","1,081","384.1"
"San Mateo County, CA","2,371","309.9"
"Santa Barbara County, CA","2,295","516.0"
"Santa Clara County, CA","6,733","351.0"
"Santa Cruz County, CA","972","354.6"
"Shasta County, CA","643","358.2"
"Sierra County, CA","3","101.1"
"Siskiyou County, CA","88","202.0"
"Solano County, CA","2,372","543.9"
"Sonoma County, CA","1,881","374.6"
"Stanislaus County, CA","2,380","442.1"
"Sutter County, CA","314","325.5"
"Tehama County, CA","196","309.6"
"Trinity County, CA","26","198.9"
"Tulare County, CA","2,158","469.3"
"Tuolumne County, CA","102","189.9"
"Ventura County, CA","2,689","316.2"
"Yolo County, CA","817","383.5"
"Yuba County, CA","270","362.5"
"Adams County, CO","2,179","443.5"
"Alamosa County, CO","81","491.0"
"Arapahoe County, CO","3,682","583.4"
"Archuleta County, CO","37","299.5"
"Baca County, CO","1","27.7"
"Bent County, CO","15","257.3"
"Boulder County, CO","1,168","365.7"
