Geography,Cases,Rate per 100000
"Autauga County, AL","198","362.2"
"Baldwin County, AL","558","304.6"
"Barbour County, AL","177","647.4"
"Bibb County, AL","75","328.1"
"Blount County, AL","65","113.3"
"Bullock County, AL","84","771.6"
"Butler County, AL","135","644.6"
"Calhoun County, AL","671","566.5"
"Chambers County, AL","227","665.7"
"Cherokee County, AL","67","257.9"
"Chilton County, AL","86","197.0"
"Choctaw County, AL","60","433.5"
"Clarke County, AL","197","764.5"
"Clay County, AL","55","396.3"
"Cleburne County, AL","33","220.4"
"Coffee County, AL","311","619.8"
"Colbert County, AL","271","497.1"
"Conecuh County, AL","80","605.7"
"Coosa County, AL","55","467.8"
"Covington County, AL","178","470.9"
"Crenshaw County, AL","90","649.7"
"Cullman County, AL","172","213.7"
"Dale County, AL","223","442.8"
"Dallas County, AL","554","1264.8"
"Dekalb County, AL","127","178.5"
"Elmore County, AL","379","476.9"
"Escambia County, AL","171","446.4"
"Etowah County, AL","569","544.8"
"Fayette County, AL","52","301.8"
"Franklin County, AL","64","201.7"
"Geneva County, AL","116","432.9"
"Greene County, AL","112","1244.3"
"Hale County, AL","209","1328.2"
"Henry County, AL","115","665.0"
"Houston County, AL","762","748.7"
"Jackson County, AL","82","154.2"
"Jefferson County, AL","5,268","800.5"
"Lamar County, AL","43","296.7"
"Lauderdale County, AL","443","477.6"
"Lawrence County, AL","138","402.3"
"Lee County, AL","702","498.6"
"Limestone County, AL","222","266.9"
"Lowndes County, AL","102","904.7"
"Macon County, AL","223","1035.0"
"Madison County, AL","1,517","451.3"
"Marengo County, AL","140","668.5"
"Marion County, AL","46","149.4"
"Marshall County, AL","175","187.9"
"Mobile County, AL","3,240","783.9"
"Monroe County, AL","153","665.7"
"Montgomery County, AL","2,694","1172.7"
"Morgan County, AL","517","432.3"
"Perry County, AL","101","958.3"
"Pickens County, AL","105","532.6"
"Pike County, AL","336","1019.5"
"Randolph County, AL","57","249.0"
"Russell County, AL","432","810.6"
"St. Clair County, AL","0","0.0"
"Shelby County, AL","372","189.7"
"Sumter County, AL","148","1077.1"
