Geography,Cases,Rate per 100000
"Prairie County, AR","43","508.3"
"Pulaski County, AR","3,116","801.1"
"Randolph County, AR","71","397.7"
"St. Francis County, AR","271","971.4"
"Saline County, AR","251","224.6"
"Scott County, AR","39","354.3"
"Searcy County, AR","20","250.3"
"Sebastian County, AR","549","430.7"
"Sevier County, AR","78","454.3"
"Sharp County, AR","24","140.6"
"Stone County, AR","23","182.5"
"Union County, AR","390","954.3"
"Van Buren County, AR","32","186.4"
"Washington County, AR","970","458.3"
"White County, AR","357","453.7"
"Woodruff County, AR","37","523.6"
"Yell County, AR","56","256.8"
"Alameda County, CA","6,562","421.5"
"Alpine County, CA","2","177.6"
"Amador County, CA","66","177.9"
"Butte County, CA","847","382.9"
"Calaveras County, CA","81","181.0"
"Colusa County, CA","39","182.5"
"Contra Costa County, CA","3,429","317.7"
"Del Norte County, CA","36","127.7"
"El Dorado County, CA","287","158.9"
"Fresno County, CA","6,025","635.7"
"Glenn County, CA","88","314.8"
"Humboldt County, CA","401","297.7"
"Imperial County, CA","579","326.1"
"Inyo County, CA","66","358.6"
"Kern County, CA","5,935","692.9"
"Kings County, CA","558","369.0"
"Lake County, CA","170","265.7"
"Lassen County, CA","58","172.2"
"Los Angeles County, CA","51,589","517.4"
"Madera County, CA","659","433.1"
"Marin County, CA","486","189.8"
"Mariposa County, CA","26","145.6"
"Mendocino County, CA","352","402.2"
"Merced County, CA","1,023","390.8"
"Modoc County, CA","6","64.3"
"Mono County, CA","27","188.5"
"Monterey County, CA","1,716","402.4"
"Napa County, CA","343","246.7"
"Nevada County, CA","176","179.1"
"Orange County, CA","8,642","279.7"
"Placer County, CA","765","211.8"
"Plumas County, CA","63","326.0"
"Riverside County, CA","9,213","406.3"
"Sacramento County, CA","8,153","562.9"
"San Benito County, CA","234","411.4"
"San Bernardino County, CA","11,781","566.5"
"San Diego County, CA","16,524","518.9"
"San Francisco County, CA","4,883","588.7"
"San Joaquin County, CA","3,677","524.2"
"San Luis Obispo County, CA","870","316.9"
"San Mateo County, CA","1,811","244.5"
"Santa Barbara County, CA","1,725","400.3"
"Santa Clara County, CA","4,442","241.2"
"Santa Cruz County, CA","852","319.6"
"Shasta County, CA","586","328.4"
"Sierra County, CA","3","97.6"
"Siskiyou County, CA","64","145.0"
"Solano County, CA","2,134","507.7"
"Sonoma County, CA","1,554","316.7"
"Stanislaus County, CA","2,010","385.0"
"Sutter County, CA","226","239.2"
"Tehama County, CA","223","352.7"
"Trinity County, CA","14","103.6"
"Tulare County, CA","2,020","447.7"
"Tuolumne County, CA","89","164.4"
"Ventura County, CA","2,673","320.0"
"Yolo County, CA","647","315.5"
"Yuba County, CA","185","253.6"
"Adams County, CO","2,117","459.5"
"Alamosa County, CO","75","464.8"
"Arapahoe County, CO","3,273","548.8"
"Archuleta County, CO","31","255.9"
"Baca County, CO","10","265.7"
"Bent County, CO","7","120.4"
"Boulder County, CO","841","275.2"
"Broomfield County, CO","169","286.7"
"Chaffee County, CO","43","237.5"
"Cheyenne County, CO","2","106.4"
"Clear Creek County, CO","7","77.2"
"Conejos County, CO","21","253.7"
"Costilla County, CO","10","277.7"
"Crowley County, CO","6","110.8"
"Custer County, CO","2","47.2"
"Delta County, CO","59","193.8"
"Denver County, CO","5,467","862.3"
"Dolores County, CO","1","50.2"
"Douglas County, CO","509","170.4"
"Eagle County, CO","85","163.5"
"Elbert County, CO","27","115.3"
"El Paso County, CO","2,787","431.6"
"Fremont County, CO","100","212.3"
"Garfield County, CO","189","332.9"
"Gilpin County, CO","6","110.0"
"Grand County, CO","12","84.8"
"Gunnison County, CO","43","277.9"
"Hinsdale County, CO","0","0.0"
"Huerfano County, CO","18","273.4"
"Jackson County, CO","0","0.0"
